EnglishName	EnglishAlternatives	Greek	GrkTranslit	GrkTidy	Hebrew	HebTranslit	HebTidy	Comment
Rama		Ῥαμά	Ɽama	Ɽama	רָמָה	Rāmāh	Ramah	Matt 2:18
Salem		Σαλήμ	Salaʸm	Salem	שָׁלֵם	Shālēm	Shalem	
Samaria		Σαμάρεια	Samareia	Samareia	שֹׁמְרוֹן	Shomrōn	Shomron	Luke 17:11
Sarepta		Σάρεπτα	Sarepta	Sarepta	צֱרְפַת	Tsₑrəfat	Tsₑrefat	Luke 4:26
Saron		Ασσαρών	Assarōn	Assaron	שָׁרוֹן	Shārōn	Sharon	Acts 9:35
Shechem		Συχέμ	Suⱪem	Suⱪem	שְׁכֶם	Shəkem	Shekem	Acts 7:16
Sidon		Σιδών	Sidōn	Sidon	צִידוֹן	Tsīdōn	Tsidon	Acts 12:20
Sinai		Σινᾶ	Sina	Sina	סִינַי	Şīnay	Şinay	Acts 7:30
Sodom		Σόδομα	Sodoma	Sodoma	סְדֹם	Şədom	Şedom	
Syria		Συρία	Suria	Suria	אֲרָם	ʼArām	Aram	
Tyre		Τύρος	Turos	Turos	צֹר	Tsor	Tsor	
Zion		Σιών	Siōn	Sion	צִיּוֹן	Tsiyyōn	Tsiyyon	

# Other
Ephphatha		Ἐφφαθά	Effatha	Effatha	פְתַח	Fətaḩ	Fetah	
